id,politicianId,description,announcedDate,status
P00001,10234567,จะสร้างรถไฟฟ้าเชื่อมทุกเขตในกรุงเทพฯ ภายใน 2 ปี,2026-01-15,กำลังดำเนินการ
P00002,10234567,จะลดค่าครองชีพโดยยกเว้นภาษีสินค้าอุปโภคบริโภค,2026-01-20,ยังไม่เริ่ม
P00003,20345678,จะปรับเงินเดือนข้าราชการขั้นต่ำเป็น 18000 บาท,2026-02-01,เงียบหาย
P00004,20345678,จะสร้างโรงพยาบาลในทุกตำบลให้แล้วเสร็จภายใน 4 ปี,2026-02-10,เงียบหาย
P00005,30456789,จะลดราคาน้ำมันเหลือลิตรละ 25 บาท,2026-02-15,เงียบหาย
P00006,30456789,จะแจกเงินดิจิทัลวอลเล็ท 10000 บาท ให้ประชาชนทุกคน,2026-02-20,กำลังดำเนินการ
P00007,40567890,จะปลูกป่า 1 ล้านไร่ภายใน 1 ปี,2026-03-01,กำลังดำเนินการ
P00008,40567890,จะสร้างศูนย์กีฬาในทุกจังหวัด,2026-03-05,ยังไม่เริ่ม
P00009,50678901,จะปฏิรูปการศึกษาให้ได้มาตรฐานสากล,2026-03-10,กำลังดำเนินการ
P00010,50678901,จะยกเลิกภาษีที่ดินและสิ่งปลูกสร้างสำหรับบ้านที่อยู่อาศัย,2026-03-15,กำลังดำเนินการ
P00011,10234567,จะสร้างสวนสาธารณะในทุกชุมชน,2026-03-20,ยังไม่เริ่ม
P00012,20345678,จะเพิ่มค่าแรงขั้นต่ำเป็น 400 บาทต่อวัน,2026-03-25,เงียบหาย
P00013,10234567,จะสร้างยานอวกาศพาคนไทยไปดวงจันทร์,2026-03-30,ยังไม่เริ่ม
P00014,10234567,จะคืนชีพไดโนเสาร์,2026-04-01,กำลังดำเนินการ
