id,promiseId,updateDate,description
U00001,P00001,2023-05-10,ได้รับงบประมาณอนุมัติแล้ว เริ่มศึกษาความเป็นไปได้
U00002,P00001,2023-07-15,เริ่มสำรวจพื้นที่และออกแบบเส้นทาง
U00003,P00001,2023-09-20,ได้ประมูลผู้รับเหมาเรียบร้อยแล้ว คาดว่าจะเริ่มก่อสร้างปลายปี
U00004,P00004,2023-06-01,มีการประชุมกับกระทรวงสาธารณสุขเพื่อหารือแผนการสร้างโรงพยาบาล
U00005,P00004,2023-08-10,เริ่มก่อสร้างโรงพยาบาลชุมชนในจังหวัดแรก 5 จังหวัด
U00006,P00006,2023-05-01,ผ่านการอนุมัติงบประมาณจากรัฐสภาเรียบร้อยแล้ว
U00007,P00006,2023-06-15,เริ่มระบบการลงทะเบียนรับเงินดิจิทัลวอลเล็ท
U00008,P00006,2023-10-01,เริ่มจ่ายเงินดิจิทัลให้กับประชาชนกลุ่มแรก
U00009,P00007,2023-04-10,จัดทีมสำรวจพื้นที่ปลูกป่าในหลายจังหวัด
U00010,P00007,2023-06-20,เริ่มปลูกป่าในพื้นที่นำร่อง 50000 ไร่
U00011,P00007,2023-09-15,ปลูกป่าไปแล้วกว่า 300000 ไร่
U00012,P00009,2023-05-20,จัดประชุมผู้เชี่ยวชาญด้านการศึกษาเพื่อวางแผนปฏิรูป
U00013,P00009,2023-08-01,เสนอร่างพระราชบัญญัติการศึกษาฉบับใหม่
U00014,P00004,2026-02-07,ไม่ทำแล้วขอโกงก่อน
U00015,P00010,2026-02-07,กำลังโกง
U00016,P00010,2026-02-07,okok
U00017,P00014,2026-02-07,กำลังวิจัยยีนส์ไดโนเสาร์
U00018,P00014,2026-02-07,กำลังจีบไดโนเสาร์
